"CancerType","SampleType","Expression","PatientID"
"ACC","Tumor",1.459496547986,"ACC_T_1"
"ACC","Tumor",4.3885480980132,"ACC_T_2"
"ACC","Tumor",3.04008623969931,"ACC_T_3"
"ACC","Tumor",3.03181025022684,"ACC_T_4"
"ACC","Tumor",3.33213482585323,"ACC_T_5"
"ACC","Tumor",4.42960709021644,"ACC_T_6"
"ACC","Tumor",1.42178158314765,"ACC_T_7"
"ACC","Tumor",4.83923656566074,"ACC_T_8"
"ACC","Tumor",3.65286465916991,"ACC_T_9"
"ACC","Tumor",5.67738876271891,"ACC_T_10"
"ACC","Tumor",3.69814894765034,"ACC_T_11"
"ACC","Tumor",3.38726513280884,"ACC_T_12"
"ACC","Tumor",2.10015906842825,"ACC_T_13"
"ACC","Tumor",4.44381546659895,"ACC_T_14"
"ACC","Tumor",3.97459205588913,"ACC_T_15"
"ACC","Tumor",3.09336620029473,"ACC_T_16"
"ACC","Tumor",2.36466999442661,"ACC_T_17"
"ACC","Tumor",2.4155489894233,"ACC_T_18"
"ACC","Tumor",2.93318681796809,"ACC_T_19"
"ACC","Tumor",2.81413945430143,"ACC_T_20"
"ACC","Tumor",2.06335307671186,"ACC_T_21"
"ACC","Tumor",3.06362894758064,"ACC_T_22"
"ACC","Tumor",4.21966275028622,"ACC_T_23"
"ACC","Tumor",3.00365866102209,"ACC_T_24"
"ACC","Tumor",1.98350736412484,"ACC_T_25"
"ACC","Tumor",2.33053648950167,"ACC_T_26"
"ACC","Tumor",3.83398828993986,"ACC_T_27"
"ACC","Tumor",2.82899579273798,"ACC_T_28"
"ACC","Tumor",1.83752980061803,"ACC_T_29"
"ACC","Tumor",2.54944388407081,"ACC_T_30"
"ACC","Tumor",3.01964152300762,"ACC_T_31"
"ACC","Tumor",4.03578835901861,"ACC_T_32"
"ACC","Tumor",2.99765624967901,"ACC_T_33"
"ACC","Tumor",3.47884341277253,"ACC_T_34"
"ACC","Tumor",0,"ACC_T_35"
"ACC","Tumor",2.37726044076864,"ACC_T_36"
"ACC","Tumor",3.43560077936908,"ACC_T_37"
"ACC","Tumor",1.92854022964866,"ACC_T_38"
"ACC","Tumor",3.58360258912782,"ACC_T_39"
"ACC","Tumor",3.94922907785022,"ACC_T_40"
"ACC","Tumor",2.98512124337182,"ACC_T_41"
"ACC","Tumor",4.39197098695211,"ACC_T_42"
"ACC","Normal",2.75056534545211,"ACC_N_1"
"ACC","Normal",3.32674434377553,"ACC_N_2"
"ACC","Normal",3.27572792911622,"ACC_N_3"
"ACC","Normal",4.27302430668385,"ACC_N_4"
"ACC","Normal",3.58235695883733,"ACC_N_5"
